Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Ravindra Jadeja,CSK,https://sports.ndtv.com/cricket/players/855-ravindra-jadeja-playerprofile,All-Rounder ,16,Ravindrasinh Anirudhsinh Jadeja,"December 6, 1988 Navagam-Khed, Saurashtra","33 Years, 3 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,IPL,200,151,63,2386,62* v RCB,0,2,176,85,27.11,128.14,81,0,10,5,171,501.1,2,3816,127,5/16 v DCH,8,1,30.04,7.61,23.67,171
Deepak Chahar,CSK,https://sports.ndtv.com/cricket/players/60022-deepak-lokandersingh-chahar-playerprofile,Bowler ,14,Deepak Lokandersingh Chahar,"August 7, 1992 Agra, Uttar Pradesh","29 Years, 7 Months, 8 Days",India,Right Handed,Right-arm medium,IPL,63,12,5,79,39 v PBKS,0,0,2,6,11.28,138.59,12,0,4,0,63,220.4,6,1722,59,4/13 v PBKS,3,0,29.18,7.8,22.44,63
Moeen Ali,CSK,https://sports.ndtv.com/cricket/players/42413-moeen-munir-ali-playerprofile,All-Rounder ,8,Moeen Munir Ali,"June 18, 1987 Birmingham, Warwickshire","34 Years, 8 Months, 28 Days",England,Left Handed,Off break,IPL,34,32,3,666,66 v KKR,0,4,52,42,22.96,146.37,11,0,4,3,27,68.3,0,469,16,3/7 v RR,1,0,29.31,6.84,25.68,27
Dwayne Bravo,CSK,https://sports.ndtv.com/cricket/players/626-dwayne-bravo-playerprofile,All-Rounder ,4.4,Dwayne John Bravo,"October 7, 1983 Santa Cruz, Trinidad","38 Years, 5 Months, 9 Days",West Indies,Right Handed,Right-arm medium,IPL,151,107,40,1537,70* v PBKS,0,5,119,65,22.94,130.25,77,0,8,2,148,485.3,2,4061,167,4/22 v PBKS,12,0,24.31,8.36,17.44,148
Shivam Dube,CSK,https://sports.ndtv.com/cricket/players/107521-shivam-dubey-playerprofile,All-Rounder ,4,Shivam Dube,"June 26, 1993 Mumbai","28 Years, 8 Months, 19 Days",India,Left Handed,Right-arm medium,IPL,24,22,4,399,64* v CSK,0,1,24,22,22.16,120.54,5,0,0,1,11,15.4,0,130,4,2/15 v SRH,0,0,32.5,8.29,23.5,11
Chris Jordan,CSK,https://sports.ndtv.com/cricket/players/1573-chris-jordan-playerprofile,All-Rounder ,3.6,Christopher James Jordan,"October 4, 1988 Barbados","33 Years, 5 Months, 11 Days",England,Right Handed,Right-arm fast medium,IPL,24,9,2,64,30 v KKR,0,0,3,3,9.14,112.28,9,0,2,2,24,76.3,0,698,25,4/11 v GL,2,0,27.92,9.12,18.36,24
Mitchell Santner,CSK,https://sports.ndtv.com/cricket/players/51086-mitchell-josef-santner-playerprofile,All-Rounder ,1.9,Mitchell Josef Santner,"February 5, 1992 Hamilton","30 Years, 1 Months, 8 Days",New Zealand,Left Handed,Slow left-arm orthodox,IPL,6,2,1,32,22 v MI,0,0,0,3,32,139.13,2,0,0,0,6,21,0,147,6,2/13 v MI,0,0,24.5,7,21,6
Adam Milne,CSK,https://sports.ndtv.com/cricket/players/1510-adam-milne-playerprofile,Bowler ,1.9,Adam Fraser Milne,"April 13, 1992 Palmerston North","29 Years, 11 Months, 2 Days",New Zealand,Right Handed,Right-arm fast,IPL,9,6,2,23,15 v CSK,0,0,0,1,5.75,79.31,7,0,2,0,9,32,0,308,7,2/21 v CSK,0,0,44,9.62,27.42,9
Tushar Deshpande,CSK,https://sports.ndtv.com/cricket/players/107528-tushar-deshpande-playerprofile,Bowler ,0.2,Tushar Uday Deshpande,"May 15, 1995 Mumbai","26 Years, 10 Months, 1 Days",India,Left Handed,Right-arm medium,IPL,5,2,1,21,20* v SRH,0,0,2,1,21,175,1,0,0,0,5,17,0,192,3,2/37 v RR,0,0,64,11.29,34,5
Andre Russell,KKR,https://sports.ndtv.com/cricket/players/1536-andre-russell-playerprofile,All-Rounder ,12,Andre Dwayne Russell,"April 29, 1988 Jamaica","33 Years, 10 Months, 16 Days",West Indies,Right Handed,Right-arm fast,IPL,84,70,12,1700,88* v CSK,0,9,119,143,29.31,178.57,25,0,3,5,76,210.1,0,1901,72,5/15 v MI,6,1,26.4,9.04,17.51,76
Nitish Rana,KKR,https://sports.ndtv.com/cricket/players/64080-nitish-rana-playerprofile,All-Rounder ,8,Nitish Rana,"December 27, 1993 Delhi","28 Years, 2 Months, 19 Days",India,Left Handed,Off break,IPL,77,71,7,1820,87 v CSK,0,13,161,89,28.43,132.46,15,0,6,3,16,19.1,0,154,7,2/11 v RCB,0,0,22,8.03,16.42,16
Varun Chakravarthy,KKR,https://sports.ndtv.com/cricket/players/110973-varun-chakravarthy-playerprofile,Bowler ,8,Varun Chakravarthy Vinod,"August 29, 1991 Bidar, Karnataka","30 Years, 6 Months, 18 Days",India,Right Handed,Leg break googly,IPL,31,6,3,12,7* v RCB,0,0,0,0,4,63.15,4,0,2,2,31,123,0,839,36,5/20 v DC,1,1,23.3,6.82,20.5,31
Venkatesh Iyer,KKR,https://sports.ndtv.com/cricket/players/110573-venkatesh-iyer-playerprofile,All-Rounder ,8,Venkatesh Rajasekaran Iyer,"December 25, 1994 Indore, Madhya Pradesh","27 Years, 2 Months, 21 Days",India,Left Handed,Right-arm medium,IPL,10,10,1,370,67 v PBKS,0,4,37,14,41.11,128.47,7,0,0,0,4,8.3,0,69,3,2/29 v DC,0,0,23,8.11,17,4
Shivam Mavi,KKR,https://sports.ndtv.com/cricket/players/108563-shivam-mavi-playerprofile,All-Rounder ,7.25,Shivam Pankaj Mavi,"November 26, 1998 Noida, Uttar Pradesh","23 Years, 3 Months, 19 Days",India,Right Handed,Right-arm fast medium,IPL,26,9,2,48,20 v CSK,0,0,4,2,6.85,97.95,12,0,3,0,26,86.1,2,715,25,4/21 v RR,0,0,28.6,8.29,20.68,26
Pat Cummins,KKR,https://sports.ndtv.com/cricket/players/1656-pat-cummins-playerprofile,All-Rounder ,7.25,Patrick James Cummins,"May 8, 1993 Westmead, Sydney","28 Years, 10 Months, 7 Days",Australia,Right Handed,Right-arm fast,IPL,37,26,10,316,66* v CSK,0,2,19,20,19.75,140.44,7,0,4,0,37,139,1,1145,38,4/34 v RR,2,0,30.13,8.23,21.94,37
Sunil Narine,KKR,https://sports.ndtv.com/cricket/players/1456-sunil-narine-playerprofile,All-Rounder ,6,Sunil Philip Narine,"May 26, 1988 Arima","33 Years, 9 Months, 20 Days",West Indies,Left Handed,Off break,IPL,134,76,15,954,75 v PBKS,0,4,106,57,15.63,161.69,21,0,13,5,133,520.1,3,3508,143,5/19 v PBKS,6,1,24.53,6.74,21.82,133
Umesh Yadav,KKR,https://sports.ndtv.com/cricket/players/1258-umesh-yadav-playerprofile,Bowler ,2,Umeshkumar Tilak Yadav,"October 25, 1987 Nagpur, Maharashtra","34 Years, 4 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,121,38,24,122,24* v RR,0,0,11,4,8.71,95.31,29,0,11,2,120,420.2,3,3579,119,4/24 v RR,12,0,30.07,8.51,21.19,120
Tim Southee,KKR,https://sports.ndtv.com/cricket/players/1032-tim-southee-playerprofile,Bowler ,1.5,Timothy Grant Southee,"December 11, 1988 Whangarei, Northland","33 Years, 3 Months, 4 Days",New Zealand,Right Handed,Right-arm medium fast,IPL,43,15,6,118,36* v CSK,0,0,8,4,13.11,124.21,19,0,1,3,43,160,2,1388,31,3/24 v SRH,2,0,44.77,8.67,30.96,43
Mohammad Nabi,KKR,https://sports.ndtv.com/cricket/players/1313-mohammad-nabi-playerprofile,All-Rounder ,1,Mohammad Nabi,"January 1, 1985 Loger, Afghanistan","37 Years, 2 Months, 14 Days",Afghanistan,Right Handed,Off break,IPL,17,14,2,180,31 v MI,0,0,16,9,15,151.26,11,0,0,1,17,57.1,0,408,13,4/11 v RCB,0,0,31.38,7.13,26.38,17
Ajinkya Rahane,KKR,https://sports.ndtv.com/cricket/players/965-ajinkya-rahane-playerprofile,Batsman ,1,Ajinkya Madhukar Rahane,"June 6, 1988 Ashwi-KD,Maharashtra","33 Years, 9 Months, 9 Days",India,Right Handed,Right-arm medium,IPL,151,141,16,3941,105* v DC,2,28,417,76,31.52,121.33,58,0,13,7,1,1,0,5,1,1/5 v PBKS,0,0,5,5,6,1
Rasikh Dar,KKR,https://sports.ndtv.com/cricket/players/110974-rasikh-salam-playerprofile,Bowler ,0.2,Rasikh Salam Dar,"April 5, 2001 ","20 Years, 11 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,1,1,1,5,5* v DC,0,0,0,0,,125,1,0,0,0,1,4,0,42,0,0/42 v DC,0,0,,10.5,,1
Shardul Thakur,DC,https://sports.ndtv.com/cricket/players/63779-shardul-narendra-thakur-playerprofile,Bowler ,10.75,Shardul Narendra Thakur,"October 16, 1991 Palghar, Maharashtra","30 Years, 5 Months, 0 Days",India,Right Handed,Right-arm medium fast,IPL,61,14,6,53,15* v SRH,0,0,5,1,6.62,112.76,17,0,5,2,60,210,2,1867,67,3/19 v PBKS,5,0,27.86,8.89,18.8,60
Axar Patel,DC,https://sports.ndtv.com/cricket/players/63024-akshar-rajeshbhai-patel-playerprofile,All-Rounder ,9,Axar Rajeshbhai Patel,"January 20, 1994 Anand, Gujarat","28 Years, 1 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,IPL,109,78,23,953,44 v DC,0,0,55,44,17.32,125.23,44,0,7,6,108,382.3,2,2762,95,4/21 v GL,3,0,29.07,7.22,24.15,108
Mitchell Marsh,DC,https://sports.ndtv.com/cricket/players/1425-mitchell-marsh-playerprofile,All-Rounder ,6.5,Mitchell Ross Marsh,"October 20, 1991 Attadale, Perth","30 Years, 4 Months, 27 Days",Australia,Right Handed,Right-arm medium,IPL,21,15,2,225,38 v MI,0,0,9,14,17.3,114.21,7,0,1,1,19,53.1,0,420,20,4/25 v DCH,0,0,21,7.89,15.95,19
Anrich Nortje,DC,https://sports.ndtv.com/cricket/players/64072-anrich-nortje-playerprofile,Bowler ,6.5,Anrich Arno Nortje,"November 16, 1993 ","28 Years, 4 Months, -1 Days",South Africa,Right Handed,Right-arm fast,IPL,24,5,4,7,3* v PBKS,0,0,0,0,7,116.66,5,0,2,0,24,91.2,1,699,34,3/33 v KKR,2,0,20.55,7.65,16.11,24
Khaleel Ahmed,DC,https://sports.ndtv.com/cricket/players/107233-khaleel-ahmed-playerprofile,Bowler ,5.25,Khaleel Khursheed Ahmed,"December 5, 1997 Tonk, Rajasthan","24 Years, 3 Months, 10 Days",India,Right Handed,Left-arm medium,IPL,24,3,0,1,1 v MI,0,0,0,0,0.33,20,1,0,2,1,24,90.3,0,786,32,3/21 v PBKS,6,0,24.56,8.68,16.96,24
Chetan Sakariya,DC,https://sports.ndtv.com/cricket/players/110598-chetan-sakariya-playerprofile,Bowler ,4.2,Chetan Sakariya,"February 28, 1998 Bhavnagar","24 Years, 0 Months, 15 Days",India,Left Handed,Left-arm medium fast,IPL,14,6,1,16,7 v PBKS,0,0,2,0,3.2,64,4,0,2,1,14,52,1,426,14,3/31 v PBKS,2,0,30.42,8.19,22.28,14
Kuldeep Yadav,DC,https://sports.ndtv.com/cricket/players/63624-kuldeep-yadav-playerprofile,Bowler ,2,Kuldeep Yadav,"December 14, 1994 Kanpur, Uttar Pradesh","27 Years, 3 Months, 1 Days",India,Left Handed,Slow left-arm chinaman,IPL,45,11,5,57,16 v MI,0,0,5,0,9.5,76,11,0,3,3,43,149.2,0,1236,40,4/20 v RR,2,0,30.9,8.27,22.4,43
Mustafizur Rahman,DC,https://sports.ndtv.com/cricket/players/64306-mustafizur-rahman-playerprofile,Bowler ,2,Mustafizur Rahman,"September 6, 1995 Satkhira","26 Years, 6 Months, 10 Days",Bangladesh,Left Handed,Left-arm fast medium,IPL,38,7,6,9,8* v MI,0,0,0,1,9,52.94,5,0,5,0,38,143,1,1121,38,3/16 v MI,3,0,29.5,7.83,22.57,38
Kamlesh Nagarkoti,DC,https://sports.ndtv.com/cricket/players/108584-kamlesh-nagarkoti-playerprofile,All-Rounder ,1.1,Kamlesh Lachham Nagarkoti,"December 28, 1999 Barmer, Rajasthan","22 Years, 2 Months, 19 Days",India,Right Handed,Right-arm fast,IPL,11,7,3,22,8* v RR,0,0,1,0,5.5,66.66,4,0,2,0,10,28,0,256,5,2/13 v RR,0,0,51.2,9.14,33.6,10
Lalit Yadav,DC,https://sports.ndtv.com/cricket/players/108549-lalit-yadav-playerprofile,All-Rounder ,0.65,Lalit Yadav,"January 3, 1997 Delhi","25 Years, 2 Months, 12 Days",India,Right Handed,Off break,IPL,7,5,3,68,22* v MI,0,0,7,0,34,93.15,5,0,1,0,5,14,0,101,4,2/13 v KKR,0,0,25.25,7.21,21,5
Sarfaraz Khan,DC,https://sports.ndtv.com/cricket/players/64385-sarfaraz-naushad-khan-playerprofile,All-Rounder ,0.2,Sarfaraz Naushad Khan,"October 22, 1997 Mumbai","24 Years, 4 Months, 24 Days",India,Right Handed,Leg break,IPL,40,28,9,441,67 v CSK,0,1,50,11,23.21,138.24,6,0,4,1,1,0.2,0,6,0,0/6 v RCB,0,0,,18,,1
Avesh Khan,LSG,https://sports.ndtv.com/cricket/players/64916-avesh-khan-playerprofile,Bowler ,10,Avesh Khan,"December 13, 1996 Indore, Madhya Pradesh","25 Years, 3 Months, 2 Days",India,Right Handed,Right-arm medium fast,IPL,25,2,1,9,5 v KKR,0,0,2,0,9,150,5,0,0,1,25,91,0,749,29,3/13 v KKR,4,0,25.82,8.23,18.82,25
Marcus Stoinis,LSG,https://sports.ndtv.com/cricket/players/42327-marcus-peter-stoinis-playerprofile,All-Rounder ,9.2,Marcus Peter Stoinis,"August 16, 1989 Perth","32 Years, 7 Months, -1 Days",Australia,Right Handed,Right-arm medium,IPL,56,49,16,914,65 v MI,0,4,76,35,27.69,135.81,12,0,5,2,45,102,0,969,30,4/15 v MI,2,0,32.3,9.5,20.4,45
Jason Holder,LSG,https://sports.ndtv.com/cricket/players/1446-jason-holder-playerprofile,All-Rounder ,8.75,Jason Omar Holder,"November 5, 1991 Barbados","30 Years, 4 Months, 11 Days",West Indies,Right Handed,Right-arm medium fast,IPL,26,16,3,189,47* v PBKS,0,0,11,11,14.53,121.15,7,0,1,2,26,95.5,0,786,35,4/52 v MI,5,0,22.45,8.2,16.42,26
Krunal Pandya,LSG,https://sports.ndtv.com/cricket/players/64213-krunal-himashu-pandya-playerprofile,All-Rounder ,8.25,Krunal Himashu Pandya,"March 24, 1991 Ahmedabad, Gujarat","30 Years, 11 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,IPL,84,72,22,1143,86 v DC,0,1,105,46,22.86,138.54,28,0,6,4,81,240.4,0,1773,51,3/14 v GL,4,0,34.76,7.36,28.31,81
Deepak Hooda,LSG,https://sports.ndtv.com/cricket/players/64174-deepak-jagbir-hooda-playerprofile,All-Rounder ,5.75,Deepak Jagbir Hooda,"April 19, 1995 Rohtak","26 Years, 10 Months, 27 Days",India,Right Handed,Off break,IPL,80,61,14,785,64 v RR,0,3,41,38,16.7,129.53,32,0,3,7,28,54.1,0,458,9,2/16 v KKR,0,0,50.88,8.45,36.11,28
Ravi Bishnoi,LSG,https://sports.ndtv.com/cricket/players/112652-ravi-bishnoi-playerprofile,Bowler ,4,Ravi Bishnoi,"September 5, 2000 Jodhpur, Rajasthan","21 Years, 6 Months, 10 Days",India,Right Handed,Leg break googly,IPL,23,4,2,8,6* v SRH,0,0,1,0,4,50,4,0,1,0,23,87,1,606,24,3/24 v SRH,3,0,25.25,6.96,21.75,23
Krishnappa Gowtham,LSG,https://sports.ndtv.com/cricket/players/61268-krishnappa-gowtham-playerprofile,All-Rounder ,0.9,Krishnappa Gowtham,"October 20, 1988 Bangalore, Karnataka","33 Years, 4 Months, 26 Days",India,Right Handed,Off break,IPL,24,19,6,186,33* v MI,0,0,13,12,14.3,169.09,10,0,2,1,24,68,0,562,13,2/12 v PBKS,0,0,43.23,8.26,31.38,24
Shahbaz Nadeem,LSG,https://sports.ndtv.com/cricket/players/1395-shahbaz-nadeem-playerprofile,Bowler ,0.5,Shahbaz Nadeem,"August 12, 1989 Bokaro, Bihar, India","32 Years, 7 Months, 3 Days",India,Right Handed,Slow left-arm orthodox,IPL,72,22,8,39,6 v PWI,0,0,2,0,2.78,44.82,16,0,9,2,70,235.5,2,1784,48,3/16 v DCH,1,0,37.16,7.56,29.47,70
Ankit Rajpoot,LSG,https://sports.ndtv.com/cricket/players/1717-ankit-rajpoot-playerprofile,Bowler ,0.5,Ankit Singh Rajpoot,"December 4, 1993 Kanpur","28 Years, 3 Months, 11 Days",India,Right Handed,Right-arm fast,IPL,29,7,2,26,8 v SRH,0,0,2,1,5.2,63.41,4,0,0,1,29,88.1,1,814,24,5/14 v SRH,1,1,33.91,9.23,22.04,29
Rashid Khan,GT,https://sports.ndtv.com/cricket/players/107477-rashid-khan-playerprofile,Bowler ,15,Rashid Khan Arman,"September 20, 1998 Nangarhar","23 Years, 5 Months, 25 Days",Afghanistan,Right Handed,Leg break googly,IPL,76,35,11,222,34* v KKR,0,0,17,13,9.25,137.03,20,0,11,2,76,302,4,1912,93,3/7 v DC,10,0,20.55,6.33,19.48,76
Hardik Pandya,GT,https://sports.ndtv.com/cricket/players/64177-hardik-himanshu-pandya-playerprofile,All-Rounder ,15,Hardik Himanshu Pandya,"October 11, 1993 Choryasi, Gujarat","28 Years, 5 Months, 4 Days",India,Right Handed,Right-arm medium fast,IPL,92,85,31,1476,91 v KKR,0,4,97,98,27.33,153.91,53,0,5,1,60,144.5,0,1313,42,3/20 v CSK,3,0,31.26,9.06,20.69,60
Mohammed Shami,GT,https://sports.ndtv.com/cricket/players/1580-shami-ahmed-playerprofile,Bowler ,6.25,Mohammed Shami Ahmed,"September 3, 1990 Amroha, Uttar Pradesh","31 Years, 6 Months, 12 Days",India,Right Handed,Right-arm fast,IPL,77,23,12,69,21 v RCB,0,0,5,2,6.27,94.52,11,0,7,2,77,278.2,1,2402,79,3/15 v DC,6,0,30.4,8.62,21.13,77
Jayant Yadav,GT,https://sports.ndtv.com/cricket/players/60086-jayant-yadav-playerprofile,All-Rounder ,1.7,Jayant Yadav,"January 22, 1990 Delhi","32 Years, 1 Months, 21 Days",India,Right Handed,Off break,IPL,19,5,1,40,23 v DC,0,0,2,1,10,111.11,6,0,1,2,19,61,0,419,8,1/8 v CSK,0,0,52.37,6.86,45.75,19
Vijay Shankar,GT,https://sports.ndtv.com/cricket/players/62197-vijay-shankar-playerprofile,All-Rounder ,1.4,Vijay Shankar,"January 26, 1991 Tirunelveli, Tamil Nadu","31 Years, 1 Months, 18 Days",India,Right Handed,Right-arm medium,IPL,47,39,12,712,63* v GL,0,3,45,28,26.37,126.24,21,0,3,1,20,38.1,0,329,9,2/19 v MI,0,0,36.55,8.62,25.44,20
Varun Aaron,GT,https://sports.ndtv.com/cricket/players/1252-varun-aaron-playerprofile,Bowler ,0.5,Varun Raymond Aaron,"October 29, 1989 Singhbhum, Bihar (now Jharkhand)","32 Years, 4 Months, 17 Days",India,Right Handed,Right-arm fast,IPL,50,13,8,50,17* v PBKS,0,0,2,2,10,69.44,3,0,5,2,48,160.4,2,1429,42,3/16 v KKR,1,0,34.02,8.89,22.95,48
Gurkeerat Singh Mann,GT,https://sports.ndtv.com/cricket/players/1661-gurkeerat-singh-playerprofile,All-Rounder ,0.5,Gurkeerat Rupinder Singh,"June 29, 1990 Muktsar, Punjab","31 Years, 8 Months, 16 Days",India,Right Handed,Off break,IPL,41,32,8,511,65 v SRH,0,2,55,11,21.29,121.09,19,1,4,1,6,13,0,97,5,2/15 v RPS,0,0,19.4,7.46,15.6,6
Pradeep Sangwan,GT,https://sports.ndtv.com/cricket/players/1047-pradeep-sangwan-playerprofile,All-Rounder ,0.2,Pradeep Jaibeer Sangwan,"November 5, 1990 Rasiwas, Delhi","31 Years, 4 Months, 10 Days",India,Right Handed,Left-arm medium,IPL,39,14,7,24,6* v MI,0,0,1,0,3.42,61.53,6,0,6,1,39,133.4,1,1175,35,3/18 v DCH,3,0,33.57,8.79,22.91,39
